_time,namespace_x,pod_name_x,container_name_x,node_name,inventory-cluster-id_x,inventory-rack-id,inventory-server-id_x,cpu_usage_core_nanoseconds,cpu_usage_nanocores,logsfs_available_bytes,logsfs_capacity_bytes,logsfs_used_bytes,memory_major_page_faults,memory_page_faults,memory_rss_bytes,memory_usage_bytes,memory_working_set_bytes,rootfs_available_bytes,rootfs_capacity_bytes,rootfs_used_bytes,pod_key,namespace_y,pod_name_y,container_name_y,inventory-cluster-id_y,inventory-server-id_y,kepler_container_joules_total,kepler_container_microwatts_consumption_total,inventory-cluster-id,inventory-server-id,node_fqdn,vm_id,vm_name,cpuload,disk_free,disk_total,disk_used,disk_used_percentage,mem_free,mem_total,mem_used,mem_used_percentage,status,swap_free,swap_total,swap_used,swap_used_percentage,uptime,placement,plugin,activePower,apparentPower,cumulatedEnergy,current,currentTHD,partialEnergy,peakFactor,powerFactor,reactivePower,latency_ms
2025-09-05 10:38:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,148544831000,2172538312,22659010560,33104523264,32727040,0,285565,78041088,82669568,82669568,22659010560,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,9460.5,108142050.0,flux,flux-node1,flux-node1.av.it.pt,301,neuronet-k8s-m2,0.328732834789418,34359738368,34359738368,0,0,496128000,4294967296,3798839296,88.4486198425293,running,0,0,0,0,5488206,right,pdu,91.546,86.553,217130.01031312,0.399,9.0,217130.01031312,1.625,0.996,-0.687,1575.11
2025-09-05 10:39:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,269400419000,2252322516,22677766144,33104523264,35307520,0,668155,118259712,124645376,124645376,22677766144,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,16115.196,110911600.0,flux,flux-node5,flux-node5.av.it.pt,304,neuronet-k8s-w2,0.844342667354073,34359738368,34359738368,0,0,1004290048,4294967296,3290677248,76.61705017089844,running,0,0,0,0,5445907,right,pdu,67.275,69.589,164662.00782103,0.295,11.2,164662.00782103,1.578,0.99,-6.305,5841.4
2025-09-05 10:40:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,404545819000,1758135896,22674919424,33104523264,36950016,0,1105840,67637248,72368128,72368128,22674919424,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,23386.2,121183400.0,flux,flux-node3,flux-node3.av.it.pt,306,neuronet-k8s-lb,0.0131132730845973,34359738368,34359738368,0,0,414449664,2147483648,1733033984,80.70068359375,running,0,0,0,0,5068298,left,pdu,70.165,74.71,178185.00846333,0.308,11.7,178185.00846333,1.653,0.986,-7.613,3862.71
2025-09-05 10:41:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,460082566000,115903139,22671982592,33104523264,38936576,0,1659803,47779840,50475008,50475008,22671982592,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,27029.358,60719299.99999999,flux,flux-node1,flux-node1.av.it.pt,300,neuronet-k8s-m1,0.305417267896703,34359738368,34359738368,0,0,748204032,4294967296,3546763264,82.57951736450195,running,0,0,0,0,5488561,right,pdu,97.096,88.251,217134.01031331,0.423,6.2,217134.01031331,1.59,0.997,-0.524,805.94
2025-09-05 10:42:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,499557049000,1424465270,22669344768,33104523264,40976384,0,2098663,55451648,58753024,58753024,22669344768,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,31584.537,75919650.0,flux,flux-node1,flux-node1.av.it.pt,302,neuronet-k8s-m3,0.279073578898378,34359738368,34359738368,0,0,437800960,4294967296,3857166336,89.8066520690918,running,0,0,0,0,5488424,right,pdu,59.463,53.114,129720.00616137,0.263,12.5,129720.00616137,1.678,0.975,-7.156,3250.91
2025-09-05 10:43:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,37833629000,2503658124,22691958784,33104523264,20852736,0,35675,88412160,92631040,92631040,22688882688,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,52645800.00000005,flux,flux-node3,flux-node3.av.it.pt,311,neuronet-5g-core,0.145493742232351,85899345920,85899345920,0,0,8933908480,17179869184,8245960704,47.9978084564209,running,0,0,0,0,1195524,right,pdu,99.482,95.888,217137.01031345,0.433,7.2,217137.01031345,1.612,0.997,-0.489,2961.9
2025-09-05 10:44:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,155681837000,2369199446,22673756160,33104523264,36913152,0,96529,163840000,170688512,170688512,22673756160,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node3,flux-node3.av.it.pt,306,neuronet-k8s-lb,0.01669731459545,34359738368,34359738368,0,0,411537408,2147483648,1735946240,80.83629608154297,running,0,0,0,0,5068538,right,pdu,95.232,101.13,217139.01031355,0.415,7.9,217139.01031355,1.635,0.997,-0.795,3987.33
2025-09-05 10:45:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,308400465000,1764941120,22669463552,33104523264,38567936,0,439461,66994176,72007680,72007680,22669463552,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node1,flux-node1.av.it.pt,188,neuronet-m2,0.3560200001442,64424509440,64424509440,0,0,401821696,4294967296,3893145600,90.64435958862305,running,0,0,0,0,9746484,right,pdu,97.335,97.557,217141.01031364,0.405,9.6,217141.01031364,1.566,0.997,-0.779,3847.98
2025-09-05 10:46:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,357634746000,361608345,22675390464,33104523264,30683136,0,875940,50753536,53616640,53616640,22675390464,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node5,flux-node5.av.it.pt,305,neuronet-k8s-w3,0.0461457938075772,34359738368,34359738368,0,0,2368802816,4294967296,1926164480,44.84701156616211,running,0,0,0,0,5446310,left,pdu,74.801,76.598,178192.00846367,0.328,16.8,178192.00846367,1.68,0.986,-7.768,810.51
2025-09-05 10:47:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,394495962000,1417231124,22673227776,33104523264,32698368,0,1225329,55521280,58593280,58593280,22673227776,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node4,flux-node4.av.it.pt,179,neuronet-m1,0.397757336357705,64424509440,64424509440,0,0,624566272,4294967296,3670401024,85.45818328857422,running,0,0,0,0,8789579,right,pdu,92.226,90.071,217144.01031379,0.402,7.4,217144.01031379,1.61,0.997,-0.85,3409.33
2025-09-05 10:48:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,502872806000,2000617874,22663733248,33104523264,31576064,0,1960066,82698240,88154112,88154112,22663733248,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node3,flux-node3.av.it.pt,311,neuronet-5g-core,0.144375159426507,85899345920,85899345920,0,0,8928120832,17179869184,8251748352,48.03149700164795,running,0,0,0,0,1195824,left,pdu,71.398,68.881,178195.00846381,0.314,16.6,178195.00846381,1.73,0.976,-7.633,3571.35
2025-09-05 10:49:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,639659465000,2076781232,22672539648,33104523264,32071680,0,2569312,81674240,86929408,86929408,22672539648,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node5,flux-node5.av.it.pt,304,neuronet-k8s-w2,0.621173345713973,34359738368,34359738368,0,0,1042132992,4294967296,3252834304,75.7359504699707,running,0,0,0,0,5446508,right,pdu,68.543,71.517,164673.00782155,0.301,12.6,164673.00782155,1.559,0.991,-6.297,4181.23
