,result,table,_start,_stop,_time,_value,_field,_measurement,inventory-rack-id,inventory-server-id,placement,plugin,url
,_result,0,2025-07-30T13:59:51.982626939Z,2025-07-30T14:09:51.982626939Z,2025-07-30T14:00:02Z,53.456,activePower,energy_measurements,r4,flux-node1,left,pdu,https://192.168.88.145/rest/mbdetnrs/2.0/powerDistributions/1/outlets/16/measures
,_result,0,2025-07-30T13:59:51.982626939Z,2025-07-30T14:09:51.982626939Z,2025-07-30T14:00:32Z,55.551,activePower,energy_measurements,r4,flux-node1,left,pdu,https://192.168.88.145/rest/mbdetnrs/2.0/powerDistributions/1/outlets/16/measures
,_result,0,2025-07-30T13:59:51.982626939Z,2025-07-30T14:09:51.982626939Z,2025-07-30T14:01:02Z,64.993,activePower,energy_measurements,r4,flux-node1,left,pdu,https://192.168.88.145/rest/mbdetnrs/2.0/powerDistributions/1/outlets/16/measures
,_result,0,2025-07-30T13:59:51.982626939Z,2025-07-30T14:09:51.982626939Z,2025-07-30T14:01:32Z,57.249,activePower,energy_measurements,r4,flux-node1,left,pdu,https://192.168.88.145/rest/mbdetnrs/2.0/powerDistributions/1/outlets/16/measures
,_result,0,2025-07-30T13:59:51.982626939Z,2025-07-30T14:09:51.982626939Z,2025-07-30T14:02:02Z,57.825,activePower,energy_measurements,r4,flux-node1,left,pdu,https://192.168.88.145/rest/mbdetnrs/2.0/powerDistributions/1/outlets/16/measures
,_result,0,2025-07-30T13:59:51.982626939Z,2025-07-30T14:09:51.982626939Z,2025-07-30T14:03:32Z,58.076,activePower,energy_measurements,r4,flux-node1,left,pdu,https://192.168.88.145/rest/mbdetnrs/2.0/powerDistributions/1/outlets/16/measures
,_result,0,2025-07-30T13:59:51.982626939Z,2025-07-30T14:09:51.982626939Z,2025-07-30T14:04:02Z,54.935,activePower,energy_measurements,r4,flux-node1,left,pdu,https://192.168.88.145/rest/mbdetnrs/2.0/powerDistributions/1/outlets/16/measures
,_result,0,2025-07-30T13:59:51.982626939Z,2025-07-30T14:09:51.982626939Z,2025-07-30T14:04:31Z,59.141,activePower,energy_measurements,r4,flux-node1,left,pdu,https://192.168.88.145/rest/mbdetnrs/2.0/powerDistributions/1/outlets/16/measures
,_result,0,2025-07-30T13:59:51.982626939Z,2025-07-30T14:09:51.982626939Z,2025-07-30T14:05:02Z,55.36,activePower,energy_measurements,r4,flux-node1,left,pdu,https://192.168.88.145/rest/mbdetnrs/2.0/powerDistributions/1/outlets/16/measures
,_result,0,2025-07-30T13:59:51.982626939Z,2025-07-30T14:09:51.982626939Z,2025-07-30T14:05:31Z,57.078,activePower,energy_measurements,r4,flux-node1,left,pdu,https://192.168.88.145/rest/mbdetnrs/2.0/powerDistributions/1/outlets/16/measures
